village,vlcode,block,district,flood_hazard_category,flood_hazard_score,flood_occurrence_range,flood_data_source
Birin Dola,396779,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopei,396731,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bilabalarampur,396712,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mandia,396795,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arimula,396722,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gajipithi,396776,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Agar Bindha,396728,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Talagan,396710,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Karandia Patna,396715,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jalopoka,396702,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Karilo Patana,396709,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Akhuadakhini,396796,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pokshyot,396701,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hantapada,396708,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Abhaypur,396778,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Orisbindha,396777,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raichand,396732,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gaudagan,396714,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jokia,396780,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dalaanta,396725,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raghunatha Pur,396723,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jamapada,396724,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Naranpur,396707,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dihabalarampur,396713,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Aitpur,396711,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Odang,396781,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Surtipur,396490,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobindpur,395658,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Laxmiprasad,395975,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Padmanavpatna,396054,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ratanpur,396893,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khamaganbindha,396940,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Potari,396892,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raipur,396958,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Samjori,396954,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pailo,396872,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barunei,396075,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhuraganda Khamar,396953,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khurusia,396962,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nachhipada,396888,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Manikipur,396880,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopalapur,396948,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mantei,396874,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Antei,396873,Marsaghai,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Beruhan,396942,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khamagan,396882,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Naladiapalanda,396956,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badaghai,396955,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Batira,396887,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nuagan,396945,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhaniapada,396944,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhusudanpur,396891,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sereinpur,396951,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ramachandrapur,396884,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baripal,396886,Marsaghai,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balighai,396885,Marsaghai,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
